epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7380.45,1.04415,0.45847,1.04303,0.95295,0.94878,0.97382,0.57687,1.46327,0.51377,1.19459,0.000812,0.000812,0.000812
62,7498.31,1.03247,0.45508,1.03762,0.96938,0.94505,0.97291,0.5847,1.41283,0.50916,1.19098,0.0007922,0.0007922,0.0007922
63,7616.52,1.03025,0.45459,1.03433,0.97793,0.95799,0.96931,0.57459,1.47859,0.53773,1.2119,0.0007724,0.0007724,0.0007724
64,7733.61,1.03947,0.45483,1.04003,0.97823,0.94865,0.97748,0.56775,1.46178,0.53317,1.2014,0.0007526,0.0007526,0.0007526
65,7852.14,1.03262,0.45354,1.03748,0.95868,0.96486,0.97631,0.58012,1.41648,0.52257,1.19931,0.0007328,0.0007328,0.0007328
66,7970.35,1.02705,0.45162,1.03846,0.98442,0.96761,0.97837,0.58139,1.46335,0.53249,1.2062,0.000713,0.000713,0.000713
67,8103.71,1.01164,0.44748,1.02939,0.98153,0.97297,0.98098,0.58336,1.44905,0.51683,1.18868,0.0006932,0.0006932,0.0006932
68,8288.97,1.01934,0.44927,1.03056,0.98351,0.97027,0.9801,0.57598,1.46303,0.52349,1.21857,0.0006734,0.0006734,0.0006734
69,8474.83,1.0141,0.45615,1.03333,0.98534,0.96858,0.98098,0.57608,1.46908,0.52307,1.21003,0.0006536,0.0006536,0.0006536
70,8659.28,1.00812,0.44377,1.02785,0.98504,0.95676,0.97698,0.58306,1.44346,0.52387,1.19763,0.0006338,0.0006338,0.0006338
71,8832.95,0.99698,0.44046,1.0221,0.98465,0.96577,0.97646,0.58144,1.44477,0.52108,1.21618,0.000614,0.000614,0.000614
72,9002,0.99563,0.43873,1.02358,0.98804,0.96727,0.97743,0.5873,1.46262,0.50377,1.21944,0.0005942,0.0005942,0.0005942
73,9174.35,0.99495,0.44048,1.02462,0.9861,0.95859,0.97555,0.5838,1.461,0.52171,1.21808,0.0005744,0.0005744,0.0005744
74,9346.18,0.9929,0.43939,1.02252,0.98252,0.96207,0.97717,0.57383,1.48483,0.52872,1.21863,0.0005546,0.0005546,0.0005546
75,9517.77,0.98884,0.4375,1.022,0.9789,0.96127,0.97639,0.56984,1.47573,0.52484,1.20567,0.0005348,0.0005348,0.0005348
76,9690.79,0.98895,0.43722,1.02182,0.98012,0.96306,0.97635,0.5782,1.47514,0.52146,1.20704,0.000515,0.000515,0.000515
